Location Code,County,Area Name,Region,Year Reported ,Number Overweight,Percent Overweight,Number Obese,Percent Obese,Number Overweight or Obese,Percent Overweight or Obese,Grade Level,Number Healthy Weight,Percent Healthy Weight,Sex
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2010-2012,77813,16.2,84578,17.6,162391,33.7,DISTRICT TOTAL,308259,0.641,ALL
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2010-2012,38536,16.3,38261,16.2,76797,32.6,DISTRICT TOTAL,153898,0.653,FEMALE
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2010-2012,39277,16.0,46317,18.9,85594,34.9,DISTRICT TOTAL,154361,0.629,MALE
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2010-2012,44970,15.8,48843,17.2,93813,33.0,ELEMENTARY,184195,0.648,ALL
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2010-2012,22092,15.9,22464,16.2,44556,32.2,ELEMENTARY,90927,0.656,FEMALE
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2010-2012,22878,15.7,26379,18.1,49257,33.8,ELEMENTARY,93268,0.64,MALE
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2010-2012,33004,16.8,35719,18.2,68723,35.0,MIDDLE/HIGH,124426,0.633,ALL
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2010-2012,16387,16.9,15880,16.3,32267,33.2,MIDDLE/HIGH,63320,0.652,FEMALE
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2010-2012,16617,16.7,19839,20.0,36456,36.7,MIDDLE/HIGH,61106,0.615,MALE
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2011-2013,76896,16.3,81238,17.2,158134,33.4,DISTRICT TOTAL,302862,0.64,ALL
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2011-2013,38276,16.5,36151,15.5,74427,32.0,DISTRICT TOTAL,151906,0.653,FEMALE
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2011-2013,38620,16.1,45087,18.7,83707,34.8,DISTRICT TOTAL,150956,0.628,MALE
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2011-2013,44215,15.9,46596,16.7,90811,32.6,ELEMENTARY,180917,0.649,ALL
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2011-2013,21898,16.0,21288,15.6,43186,31.6,ELEMENTARY,89663,0.657,FEMALE
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2011-2013,22317,15.7,25308,17.8,47625,33.5,ELEMENTARY,91254,0.642,MALE
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2011-2013,32222,17.0,34053,17.9,66275,34.9,MIDDLE/HIGH,119988,0.631,ALL
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2011-2013,16177,17.3,14725,15.7,30902,33.0,MIDDLE/HIGH,61097,0.652,FEMALE
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2011-2013,16045,16.6,19328,20.1,35373,36.7,MIDDLE/HIGH,58891,0.611,MALE
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2012-2014,83095,16.7,86016,17.3,169111,33.9,DISTRICT TOTAL,316041,0.634,ALL
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2012-2014,40721,16.7,38792,15.9,79513,32.6,DISTRICT TOTAL,158010,0.647,FEMALE
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2012-2014,42374,16.7,47224,18.6,89598,35.2,DISTRICT TOTAL,158031,0.622,MALE
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2012-2014,47868,16.4,49140,16.8,97008,33.1,ELEMENTARY,188124,0.643,ALL
