"county","grade_level","sex","total_overweight","total_obese","total_overweight_or_obese","total_healthy","num_asian","num_black","num_hisp","num_am_ind","num_white","num_female","num_male","num_lep","num_multi","num_swd","num_ecdis"
"ALBANY","ELEMENTARY","FEMALE",297,297,590,1298,14,74,152,1,1504,909,934,13,98,320,786
"ALBANY","ELEMENTARY","FEMALE",297,297,590,1298,33,208,174,7,1429,1008,1007,25,164,338,1175
"ALBANY","ELEMENTARY","FEMALE",297,297,590,1298,498,395,425,6,3105,2401,2418,182,390,717,1708
"ALBANY","ELEMENTARY","FEMALE",297,297,590,1298,1121,382,334,16,3703,2914,2973,313,331,792,1442
"ALBANY","ELEMENTARY","FEMALE",297,297,590,1298,701,201,187,7,3568,2390,2451,227,177,587,999
"ALBANY","ELEMENTARY","MALE",316,316,635,1241,14,74,152,1,1504,909,934,13,98,320,786
"ALBANY","ELEMENTARY","MALE",316,316,635,1241,33,208,174,7,1429,1008,1007,25,164,338,1175
"ALBANY","ELEMENTARY","MALE",316,316,635,1241,498,395,425,6,3105,2401,2418,182,390,717,1708
"ALBANY","ELEMENTARY","MALE",316,316,635,1241,1121,382,334,16,3703,2914,2973,313,331,792,1442
"ALBANY","ELEMENTARY","MALE",316,316,635,1241,701,201,187,7,3568,2390,2451,227,177,587,999
"ALBANY","MIDDLE/HIGH","FEMALE",258,258,439,783,14,74,152,1,1504,909,934,13,98,320,786
"ALBANY","MIDDLE/HIGH","FEMALE",258,258,439,783,33,208,174,7,1429,1008,1007,25,164,338,1175
"ALBANY","MIDDLE/HIGH","FEMALE",258,258,439,783,498,395,425,6,3105,2401,2418,182,390,717,1708
"ALBANY","MIDDLE/HIGH","FEMALE",258,258,439,783,1121,382,334,16,3703,2914,2973,313,331,792,1442
"ALBANY","MIDDLE/HIGH","FEMALE",258,258,439,783,701,201,187,7,3568,2390,2451,227,177,587,999
"ALBANY","MIDDLE/HIGH","MALE",206,206,461,766,14,74,152,1,1504,909,934,13,98,320,786
"ALBANY","MIDDLE/HIGH","MALE",206,206,461,766,33,208,174,7,1429,1008,1007,25,164,338,1175
"ALBANY","MIDDLE/HIGH","MALE",206,206,461,766,498,395,425,6,3105,2401,2418,182,390,717,1708
"ALBANY","MIDDLE/HIGH","MALE",206,206,461,766,1121,382,334,16,3703,2914,2973,313,331,792,1442
"ALBANY","MIDDLE/HIGH","MALE",206,206,461,766,701,201,187,7,3568,2390,2451,227,177,587,999
"ALLEGANY","ELEMENTARY","FEMALE",19,19,36,79,6,15,21,4,1059,569,549,1,13,164,562
"ALLEGANY","ELEMENTARY","MALE",21,21,43,83,6,15,21,4,1059,569,549,1,13,164,562
"ALLEGANY","MIDDLE/HIGH","FEMALE",22,22,45,42,6,15,21,4,1059,569,549,1,13,164,562
"ALLEGANY","MIDDLE/HIGH","MALE",14,14,38,46,6,15,21,4,1059,569,549,1,13,164,562
"BROOME","ELEMENTARY","FEMALE",166,166,361,682,7,16,28,3,1301,648,756,2,49,158,564
"BROOME","ELEMENTARY","FEMALE",166,166,361,682,153,1491,778,9,2206,2562,2717,197,642,961,3843
"BROOME","ELEMENTARY","FEMALE",166,166,361,682,1,7,3,2,645,293,384,0,19,102,458
"BROOME","ELEMENTARY","FEMALE",166,166,361,682,18,29,42,2,1256,656,739,4,48,181,695
"BROOME","ELEMENTARY","FEMALE",166,166,361,682,24,27,38,6,1536,850,872,8,91,244,728
"BROOME","ELEMENTARY","MALE",193,193,392,732,7,16,28,3,1301,648,756,2,49,158,564
"BROOME","ELEMENTARY","MALE",193,193,392,732,153,1491,778,9,2206,2562,2717,197,642,961,3843
"BROOME","ELEMENTARY","MALE",193,193,392,732,1,7,3,2,645,293,384,0,19,102,458
"BROOME","ELEMENTARY","MALE",193,193,392,732,18,29,42,2,1256,656,739,4,48,181,695
"BROOME","ELEMENTARY","MALE",193,193,392,732,24,27,38,6,1536,850,872,8,91,244,728
"BROOME","MIDDLE/HIGH","FEMALE",91,91,208,304,7,16,28,3,1301,648,756,2,49,158,564
"BROOME","MIDDLE/HIGH","FEMALE",91,91,208,304,153,1491,778,9,2206,2562,2717,197,642,961,3843
"BROOME","MIDDLE/HIGH","FEMALE",91,91,208,304,1,7,3,2,645,293,384,0,19,102,458
"BROOME","MIDDLE/HIGH","FEMALE",91,91,208,304,18,29,42,2,1256,656,739,4,48,181,695
"BROOME","MIDDLE/HIGH","FEMALE",91,91,208,304,24,27,38,6,1536,850,872,8,91,244,728
"BROOME","MIDDLE/HIGH","MALE",92,92,256,329,7,16,28,3,1301,648,756,2,49,158,564
"BROOME","MIDDLE/HIGH","MALE",92,92,256,329,153,1491,778,9,2206,2562,2717,197,642,961,3843
"BROOME","MIDDLE/HIGH","MALE",92,92,256,329,1,7,3,2,645,293,384,0,19,102,458
"BROOME","MIDDLE/HIGH","MALE",92,92,256,329,18,29,42,2,1256,656,739,4,48,181,695
"BROOME","MIDDLE/HIGH","MALE",92,92,256,329,24,27,38,6,1536,850,872,8,91,244,728
"CATTARAUGUS","ELEMENTARY","FEMALE",139,139,237,456,11,17,19,4,1062,554,602,2,43,131,485
"CATTARAUGUS","ELEMENTARY","FEMALE",139,139,237,456,5,2,11,11,549,294,306,0,22,65,214
"CATTARAUGUS","ELEMENTARY","FEMALE",139,139,237,456,4,4,7,1,369,222,182,0,19,49,231
"CATTARAUGUS","ELEMENTARY","FEMALE",139,139,237,456,53,77,66,11,1684,976,1076,7,161,339,1128
"CATTARAUGUS","ELEMENTARY","FEMALE",139,139,237,456,2,5,18,43,805,452,451,0,30,133,466
"CATTARAUGUS","ELEMENTARY","FEMALE",139,139,237,456,2,8,78,429,642,624,652,3,117,156,844
"CATTARAUGUS","ELEMENTARY","MALE",125,125,262,516,11,17,19,4,1062,554,602,2,43,131,485
"CATTARAUGUS","ELEMENTARY","MALE",125,125,262,516,5,2,11,11,549,294,306,0,22,65,214
"CATTARAUGUS","ELEMENTARY","MALE",125,125,262,516,4,4,7,1,369,222,182,0,19,49,231
"CATTARAUGUS","ELEMENTARY","MALE",125,125,262,516,53,77,66,11,1684,976,1076,7,161,339,1128
"CATTARAUGUS","ELEMENTARY","MALE",125,125,262,516,2,5,18,43,805,452,451,0,30,133,466
"CATTARAUGUS","ELEMENTARY","MALE",125,125,262,516,2,8,78,429,642,624,652,3,117,156,844
"CATTARAUGUS","MIDDLE/HIGH","FEMALE",78,78,170,202,11,17,19,4,1062,554,602,2,43,131,485
"CATTARAUGUS","MIDDLE/HIGH","FEMALE",78,78,170,202,5,2,11,11,549,294,306,0,22,65,214
"CATTARAUGUS","MIDDLE/HIGH","FEMALE",78,78,170,202,53,77,66,11,1684,976,1076,7,161,339,1128
"CATTARAUGUS","MIDDLE/HIGH","FEMALE",78,78,170,202,2,5,18,43,805,452,451,0,30,133,466
"CATTARAUGUS","MIDDLE/HIGH","FEMALE",78,78,170,202,2,8,78,429,642,624,652,3,117,156,844
"CATTARAUGUS","MIDDLE/HIGH","MALE",73,73,184,230,11,17,19,4,1062,554,602,2,43,131,485
"CATTARAUGUS","MIDDLE/HIGH","MALE",73,73,184,230,5,2,11,11,549,294,306,0,22,65,214
"CATTARAUGUS","MIDDLE/HIGH","MALE",73,73,184,230,53,77,66,11,1684,976,1076,7,161,339,1128
"CATTARAUGUS","MIDDLE/HIGH","MALE",73,73,184,230,2,5,18,43,805,452,451,0,30,133,466
"CATTARAUGUS","MIDDLE/HIGH","MALE",73,73,184,230,2,8,78,429,642,624,652,3,117,156,844
"CAYUGA","ELEMENTARY","FEMALE",28,28,63,129,4,7,19,6,848,440,482,5,38,105,416
"CAYUGA","ELEMENTARY","FEMALE",28,28,63,129,1,3,15,1,870,452,455,6,17,132,441
"CAYUGA","ELEMENTARY","MALE",27,27,73,117,4,7,19,6,848,440,482,5,38,105,416
"CAYUGA","ELEMENTARY","MALE",27,27,73,117,1,3,15,1,870,452,455,6,17,132,441
"CAYUGA","MIDDLE/HIGH","FEMALE",24,24,48,76,4,7,19,6,848,440,482,5,38,105,416
"CAYUGA","MIDDLE/HIGH","FEMALE",24,24,48,76,1,3,15,1,870,452,455,6,17,132,441
